,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run,observation
21,21,0.00018400117792285523,0.023247751883474194,0.036812455268467735,-0.00018400117792285523,-0.01078195869922638,DSAC,sq_error,jumping-flower-611,state + error
22,22,2.9478945817066994e-06,0.02315204533311287,0.024868988716485397,-2.9478945817066994e-06,-0.010850280523300171,DSAC,sq_error,jumping-flower-611,state + error
23,23,0.00011078302232558446,0.0230586747674562,0.012533323356430322,-0.00011078302232558446,-0.01090531051158905,DSAC,sq_error,jumping-flower-611,state + error
24,24,0.0005273404238760223,0.02296389391797521,-7.6571373978539e-17,-0.0005273404238760223,-0.0109480619430542,DSAC,sq_error,jumping-flower-611,state + error
25,25,0.0012530267555405615,0.02286479460965008,-0.012533323356430563,-0.0012530267555405615,-0.010979488492012024,DSAC,sq_error,jumping-flower-611,state + error
26,26,0.0022684928173367165,0.022759708697329083,-0.024868988716485588,-0.0022684928173367165,-0.01100119948387146,DSAC,sq_error,jumping-flower-611,state + error
27,27,0.003535556427025086,0.022648089860424794,-0.036812455268467915,-0.003535556427025086,-0.011014819145202637,DSAC,sq_error,jumping-flower-611,state + error
28,28,0.004999301418181605,0.022530370816521126,-0.04817536741017166,-0.004999301418181605,-0.01102195680141449,DSAC,sq_error,jumping-flower-611,state + error
29,29,0.006591273003686228,0.022408130100838888,-0.058778525229247404,-0.006591273003686228,-0.011024653911590576,DSAC,sq_error,jumping-flower-611,state + error
30,30,0.008233682794474733,0.022284932311843468,-0.06845471059286899,-0.008233682794474733,-0.011026427149772644,DSAC,sq_error,jumping-flower-611,state + error
31,31,0.009845488385564056,0.022173110140381015,-0.07705132427757905,-0.009845488385564056,-0.011041149497032166,DSAC,sq_error,jumping-flower-611,state + error
32,32,0.011342991294665133,0.022070687649579323,-0.08443279255020163,-0.011342991294665133,-0.011051088571548462,DSAC,sq_error,jumping-flower-611,state + error
33,33,0.012647389620889094,0.02197790839608218,-0.09048270524660205,-0.012647389620889094,-0.011059597134590149,DSAC,sq_error,jumping-flower-611,state + error
34,34,0.01368942613601752,0.021896169450404186,-0.09510565162951541,-0.01368942613601752,-0.01106889545917511,DSAC,sq_error,jumping-flower-611,state + error
35,35,0.014413417291180805,0.021827167290566562,-0.09822872507286891,-0.014413417291180805,-0.011080190539360046,DSAC,sq_error,jumping-flower-611,state + error
36,36,0.01478054154318085,0.021772577694364185,-0.09980267284282718,-0.01478054154318085,-0.011094287037849426,DSAC,sq_error,jumping-flower-611,state + error
37,37,0.014771092239826042,0.02173370952815691,-0.09980267284282714,-0.014771092239826042,-0.011111482977867126,DSAC,sq_error,jumping-flower-611,state + error
38,38,0.014385578931760318,0.021711172091337192,-0.09822872507286884,-0.014385578931760318,-0.011131510138511658,DSAC,sq_error,jumping-flower-611,state + error
39,39,0.013644744628472712,0.0217050697468751,-0.09510565162951531,-0.013644744628472712,-0.011154219508171082,DSAC,sq_error,jumping-flower-611,state + error
40,40,0.012588233865001356,0.021714593584525748,-0.09048270524660189,-0.012588233865001356,-0.011178731918334961,DSAC,sq_error,jumping-flower-611,state + error
