,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,algorithm,reward_type,run
50,5151,101.0,-0.10247474163770676,TD3,sq_error,peach-violet-149
51,5252,101.0,-0.10104995965957642,TD3,sq_error,peach-violet-149
52,5353,101.0,-0.09991052746772766,TD3,sq_error,peach-violet-149
53,5454,101.0,-0.09894361346960068,TD3,sq_error,peach-violet-149
54,5555,101.0,-0.09770265221595764,TD3,sq_error,peach-violet-149
55,5656,101.0,-0.09666455537080765,TD3,sq_error,peach-violet-149
56,5757,101.0,-0.09593799710273743,TD3,sq_error,peach-violet-149
57,5858,101.0,-0.09484856575727463,TD3,sq_error,peach-violet-149
58,5959,101.0,-0.09579721838235855,TD3,sq_error,peach-violet-149
59,6060,101.0,-0.09498221427202225,TD3,sq_error,peach-violet-149
60,6161,101.0,-0.09415606409311295,TD3,sq_error,peach-violet-149
61,6262,101.0,-0.0933709517121315,TD3,sq_error,peach-violet-149
62,6363,101.0,-0.09216167032718658,TD3,sq_error,peach-violet-149
63,6464,101.0,-0.09085362404584885,TD3,sq_error,peach-violet-149
64,6565,101.0,-0.08979527652263641,TD3,sq_error,peach-violet-149
65,6666,101.0,-0.08861295133829117,TD3,sq_error,peach-violet-149
66,6767,101.0,-0.08900842070579529,TD3,sq_error,peach-violet-149
67,6868,101.0,-0.08868111670017242,TD3,sq_error,peach-violet-149
68,6969,101.0,-0.0877063050866127,TD3,sq_error,peach-violet-149
69,7070,101.0,-0.08664501458406448,TD3,sq_error,peach-violet-149
70,7171,101.0,-0.08558005839586258,TD3,sq_error,peach-violet-149
71,7272,101.0,-0.08500802516937256,TD3,sq_error,peach-violet-149
72,7373,101.0,-0.08423871546983719,TD3,sq_error,peach-violet-149
73,7474,101.0,-0.08339570462703705,TD3,sq_error,peach-violet-149
74,7575,101.0,-0.0824533998966217,TD3,sq_error,peach-violet-149
75,7676,101.0,-0.08165162056684494,TD3,sq_error,peach-violet-149
76,7777,101.0,-0.08079277724027634,TD3,sq_error,peach-violet-149
77,7878,101.0,-0.07991441339254379,TD3,sq_error,peach-violet-149
78,7979,101.0,-0.07907896488904953,TD3,sq_error,peach-violet-149
79,8080,101.0,-0.07865523546934128,TD3,sq_error,peach-violet-149
80,8181,101.0,-0.07802972942590714,TD3,sq_error,peach-violet-149
81,8282,101.0,-0.07740757614374161,TD3,sq_error,peach-violet-149
82,8383,101.0,-0.07679732888936996,TD3,sq_error,peach-violet-149
83,8484,101.0,-0.07629115134477615,TD3,sq_error,peach-violet-149
84,8585,101.0,-0.07588779926300049,TD3,sq_error,peach-violet-149
85,8686,101.0,-0.07580754905939102,TD3,sq_error,peach-violet-149
86,8787,101.0,-0.07541240006685257,TD3,sq_error,peach-violet-149
87,8888,101.0,-0.07510765641927719,TD3,sq_error,peach-violet-149
