,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,algorithm,reward_type,run
29,2990,99.66666412353516,-1.9524919986724854,TD3,sq_error,prime-voice-63
30,3091,99.70967864990234,-1.891011357307434,TD3,sq_error,prime-voice-63
31,3192,99.75,-1.833304524421692,TD3,sq_error,prime-voice-63
32,3293,99.78787994384766,-1.7829495668411255,TD3,sq_error,prime-voice-63
33,3394,99.82353210449219,-1.7323793172836304,TD3,sq_error,prime-voice-63
34,3495,99.85713958740234,-1.6903440952301025,TD3,sq_error,prime-voice-63
35,3596,99.88888549804688,-1.6485625505447388,TD3,sq_error,prime-voice-63
36,3697,99.9189224243164,-1.607736587524414,TD3,sq_error,prime-voice-63
37,3798,99.9473648071289,-1.575395941734314,TD3,sq_error,prime-voice-63
38,3899,99.97435760498047,-1.5382881164550781,TD3,sq_error,prime-voice-63
39,4000,100.0,-1.5034903287887573,TD3,sq_error,prime-voice-63
40,4101,100.0243911743164,-1.4731346368789673,TD3,sq_error,prime-voice-63
41,4202,100.04762268066406,-1.443219542503357,TD3,sq_error,prime-voice-63
42,4303,100.06977081298828,-1.4150152206420898,TD3,sq_error,prime-voice-63
43,4404,100.09091186523438,-1.387290120124817,TD3,sq_error,prime-voice-63
44,4505,100.11111450195312,-1.3619871139526367,TD3,sq_error,prime-voice-63
45,4606,100.13043212890625,-1.3393568992614746,TD3,sq_error,prime-voice-63
46,4707,100.14893341064453,-1.3165754079818726,TD3,sq_error,prime-voice-63
47,4808,100.16666412353516,-1.2949994802474976,TD3,sq_error,prime-voice-63
48,4909,100.18367004394531,-1.2730392217636108,TD3,sq_error,prime-voice-63
49,5010,100.19999694824219,-1.2523984909057617,TD3,sq_error,prime-voice-63
50,5111,100.21568298339844,-1.2333067655563354,TD3,sq_error,prime-voice-63
51,5212,100.23076629638672,-1.2140510082244873,TD3,sq_error,prime-voice-63
52,5313,100.24528503417969,-1.1949965953826904,TD3,sq_error,prime-voice-63
53,5414,100.25926208496094,-1.1768836975097656,TD3,sq_error,prime-voice-63
54,5515,100.2727279663086,-1.1593304872512817,TD3,sq_error,prime-voice-63
55,5616,100.28571319580078,-1.141981601715088,TD3,sq_error,prime-voice-63
56,5717,100.29824829101562,-1.1252315044403076,TD3,sq_error,prime-voice-63
57,5818,100.31034851074219,-1.1096010208129883,TD3,sq_error,prime-voice-63
58,5919,100.32203674316406,-1.0938268899917603,TD3,sq_error,prime-voice-63
59,6020,100.33333587646484,-1.0785179138183594,TD3,sq_error,prime-voice-63
60,6121,100.3442611694336,-1.064002275466919,TD3,sq_error,prime-voice-63
61,6222,100.3548355102539,-1.0504597425460815,TD3,sq_error,prime-voice-63
62,6323,100.36508178710938,-1.037187099456787,TD3,sq_error,prime-voice-63
63,6424,100.375,-1.0247710943222046,TD3,sq_error,prime-voice-63
64,6525,100.38461303710938,-1.0126482248306274,TD3,sq_error,prime-voice-63
65,6626,100.39393615722656,-1.000663161277771,TD3,sq_error,prime-voice-63
66,6727,100.40298461914062,-0.989894688129425,TD3,sq_error,prime-voice-63
67,6828,100.4117660522461,-0.981316864490509,TD3,sq_error,prime-voice-63
68,6929,100.4202880859375,-0.9729810953140259,TD3,sq_error,prime-voice-63
69,7030,100.42857360839844,-0.9644324779510498,TD3,sq_error,prime-voice-63
70,7131,100.4366226196289,-0.954494059085846,TD3,sq_error,prime-voice-63
71,7232,100.44444274902344,-0.9455721378326416,TD3,sq_error,prime-voice-63
72,7333,100.45205688476562,-0.9342280626296997,TD3,sq_error,prime-voice-63
73,7434,100.45945739746094,-0.9224509596824646,TD3,sq_error,prime-voice-63
74,7535,100.46666717529297,-0.9116942882537842,TD3,sq_error,prime-voice-63
75,7636,100.47368621826172,-0.9009582996368408,TD3,sq_error,prime-voice-63
76,7737,100.48052215576172,-0.8905765414237976,TD3,sq_error,prime-voice-63
77,7838,100.4871826171875,-0.8826549053192139,TD3,sq_error,prime-voice-63
78,7939,100.49366760253906,-0.8737688064575195,TD3,sq_error,prime-voice-63
79,8040,100.5,-0.8651101589202881,TD3,sq_error,prime-voice-63
80,8141,100.50617218017578,-0.8578290939331055,TD3,sq_error,prime-voice-63
