,_step,episode_step,tracking_error,algorithm,reward_type,run
6,125,6,0.00048394058855226045,SAC,sq_error_da,fresh-fire-135
7,129,7,0.0008586176017497553,SAC,sq_error_da,fresh-fire-135
8,133,8,0.001261880947033135,SAC,sq_error_da,fresh-fire-135
9,137,9,0.0016309484539957042,SAC,sq_error_da,fresh-fire-135
10,141,10,0.001935125218498642,SAC,sq_error_da,fresh-fire-135
11,145,11,0.002147138166754373,SAC,sq_error_da,fresh-fire-135
12,149,12,0.0022575686146875033,SAC,sq_error_da,fresh-fire-135
13,153,13,0.002259587240193205,SAC,sq_error_da,fresh-fire-135
14,157,14,0.0021542097504260007,SAC,sq_error_da,fresh-fire-135
15,161,15,0.001951432106609507,SAC,sq_error_da,fresh-fire-135
16,165,16,0.001669476230710289,SAC,sq_error_da,fresh-fire-135
17,169,17,0.0013286050878111594,SAC,sq_error_da,fresh-fire-135
18,173,18,0.000965948184090345,SAC,sq_error_da,fresh-fire-135
19,177,19,0.00060604692228218,SAC,sq_error_da,fresh-fire-135
20,181,20,0.0002940562171605537,SAC,sq_error_da,fresh-fire-135
21,185,21,8.138905996816413e-05,SAC,sq_error_da,fresh-fire-135
22,189,22,2.609704995065715e-07,SAC,sq_error_da,fresh-fire-135
23,193,23,6.443294285633764e-05,SAC,sq_error_da,fresh-fire-135
24,197,24,0.00028003962856759776,SAC,sq_error_da,fresh-fire-135
25,201,25,0.0006524334683145214,SAC,sq_error_da,fresh-fire-135
26,205,26,0.0011613995012027065,SAC,sq_error_da,fresh-fire-135
27,209,27,0.0018318842263356915,SAC,sq_error_da,fresh-fire-135
28,213,28,0.0026551498231635576,SAC,sq_error_da,fresh-fire-135
29,217,29,0.00350942715006348,SAC,sq_error_da,fresh-fire-135
30,221,30,0.004412618058488739,SAC,sq_error_da,fresh-fire-135
31,225,31,0.005306621888824133,SAC,sq_error_da,fresh-fire-135
32,229,32,0.006110223223984591,SAC,sq_error_da,fresh-fire-135
33,233,33,0.006786541805300494,SAC,sq_error_da,fresh-fire-135
