,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run
15,15,0.0010076988136433485,0.058738433107468756,0.09048270524660196,-0.0010076988136433485,-0.016958892345428467,TD3,sq_error,prime-voice-63
16,16,0.0009089104487922988,0.0542846508364524,0.0844327925502015,-0.0009089104487922988,-0.015189647674560547,TD3,sq_error,prime-voice-63
17,17,0.0008057386655589898,0.04866578807410037,0.0770513242775789,-0.0008057386655589898,-0.013105571269989014,TD3,sq_error,prime-voice-63
18,18,0.0007114226352430493,0.04178220348830422,0.06845471059286883,-0.0007114226352430493,-0.010472089052200317,TD3,sq_error,prime-voice-63
19,19,0.0006277061078320175,0.033724461530277826,0.05877852522924725,-0.0006277061078320175,-0.007529586553573608,TD3,sq_error,prime-voice-63
20,20,0.000540195491605222,0.024933261403933107,0.048175367410171484,-0.000540195491605222,-0.004793882369995117,TD3,sq_error,prime-voice-63
21,21,0.0004339067955936295,0.015982025709919752,0.036812455268467735,-0.0004339067955936295,-0.002546370029449463,TD3,sq_error,prime-voice-63
22,22,0.00032645397359006484,0.0068009513690017245,0.024868988716485397,-0.00032645397359006484,2.282857894897461e-05,TD3,sq_error,prime-voice-63
23,23,0.00022516413997168298,-0.0024721469784736456,0.012533323356430322,-0.00022516413997168298,0.0026168227195739746,TD3,sq_error,prime-voice-63
24,24,0.00015350741982429717,-0.012389811129484543,-7.6571373978539e-17,-0.00015350741982429717,0.006203263998031616,TD3,sq_error,prime-voice-63
25,25,0.00010702545287404343,-0.022878634027166528,-0.012533323356430563,-0.00010702545287404343,0.009984821081161499,TD3,sq_error,prime-voice-63
26,26,8.006568632368513e-05,-0.03381693185017196,-0.024868988716485588,-8.006568632368513e-05,0.013876616954803467,TD3,sq_error,prime-voice-63
27,27,6.571219222331754e-05,-0.044918760975959926,-0.036812455268467915,-6.571219222331754e-05,0.017611950635910034,TD3,sq_error,prime-voice-63
28,28,5.6478102937314865e-05,-0.055690558887260905,-0.04817536741017166,-5.6478102937314865e-05,0.020820945501327515,TD3,sq_error,prime-voice-63
29,29,5.213407327255008e-05,-0.06599891810446895,-0.058778525229247404,-5.213407327255008e-05,0.023908674716949463,TD3,sq_error,prime-voice-63
30,30,5.4332623991273495e-05,-0.0758257772722088,-0.06845471059286899,-5.4332623991273495e-05,0.026995301246643066,TD3,sq_error,prime-voice-63
31,31,6.490994474859611e-05,-0.08510799510048078,-0.07705132427757905,-6.490994474859611e-05,0.029991745948791504,TD3,sq_error,prime-voice-63
32,32,8.871626367480407e-05,-0.09385172368249069,-0.08443279255020163,-8.871626367480407e-05,0.0329664945602417,TD3,sq_error,prime-voice-63
33,33,0.00013510935808453203,-0.10210636035523858,-0.09048270524660205,-0.00013510935808453203,0.035965800285339355,TD3,sq_error,prime-voice-63
34,34,0.00021334807593716243,-0.10971209116614317,-0.09510565162951541,-0.00021334807593716243,0.038679033517837524,TD3,sq_error,prime-voice-63
35,35,0.0003162435676834804,-0.11601196346421598,-0.09822872507286891,-0.0003162435676834804,0.040330350399017334,TD3,sq_error,prime-voice-63
36,36,0.00040291407491350073,-0.11987539251190792,-0.09980267284282718,-0.00040291407491350073,0.04006284475326538,TD3,sq_error,prime-voice-63
37,37,0.0004252006592898697,-0.12042306709923915,-0.09980267284282714,-0.0004252006592898697,0.03795650601387024,TD3,sq_error,prime-voice-63
38,38,0.00042441517455556427,-0.11883006421758378,-0.09822872507286884,-0.00042441517455556427,0.036756426095962524,TD3,sq_error,prime-voice-63
39,39,0.00044053228379955204,-0.11609451257525394,-0.09510565162951531,-0.00044053228379955204,0.036406010389328,TD3,sq_error,prime-voice-63
40,40,0.00045284288864626417,-0.11176281071265314,-0.09048270524660189,-0.00045284288864626417,0.03497880697250366,TD3,sq_error,prime-voice-63
41,41,0.0004953626235494717,-0.1066895358777746,-0.08443279255020146,-0.0004953626235494717,0.034266769886016846,TD3,sq_error,prime-voice-63
42,42,0.0006521423226068793,-0.1025884016868456,-0.07705132427757891,-0.0006521423226068793,0.03569585084915161,TD3,sq_error,prime-voice-63
43,43,0.0008659905596940183,-0.097882428134228,-0.06845471059286883,-0.0008659905596940183,0.0348549485206604,TD3,sq_error,prime-voice-63
