,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run
19,19,0.004960366902744109,-0.011651347003663333,0.05877852522924725,-0.004960366902744109,0.022174805402755737,DSAC,sq_error,unique-plant-183
20,20,0.006063812447550789,-0.02969511767596875,0.048175367410171484,-0.006063812447550789,0.029417239129543304,DSAC,sq_error,unique-plant-183
21,21,0.007486997565164173,-0.04971498295296682,0.036812455268467735,-0.007486997565164173,0.036613620817661285,DSAC,sq_error,unique-plant-183
22,22,0.009326559923878385,-0.07170512750457243,0.024868988716485397,-0.009326559923878385,0.04461435228586197,DSAC,sq_error,unique-plant-183
23,23,0.01213790510092075,-0.09763883783196041,0.012533323356430322,-0.01213790510092075,0.05631939321756363,DSAC,sq_error,unique-plant-183
24,24,0.01575547654500172,-0.12552082116127883,-7.6571373978539e-17,-0.01575547654500172,0.06640370935201645,DSAC,sq_error,unique-plant-183
25,25,0.02005051915505376,-0.15413317912985203,-0.012533323356430563,-0.02005051915505376,0.07560158520936966,DSAC,sq_error,unique-plant-183
26,26,0.024389020087703606,-0.18103883243704388,-0.024868988716485588,-0.024389020087703606,0.08186652511358261,DSAC,sq_error,unique-plant-183
27,27,0.02798005911609735,-0.20408486517547364,-0.036812455268467915,-0.02798005911609735,0.08504102379083633,DSAC,sq_error,unique-plant-183
28,28,0.030376676227572726,-0.22246442681314374,-0.04817536741017166,-0.030376676227572726,0.08653093129396439,DSAC,sq_error,unique-plant-183
29,29,0.031858400624680504,-0.23726774233963902,-0.05877852522924742,-0.031858400624680504,0.08881144970655441,DSAC,sq_error,unique-plant-183
30,30,0.031881612125632584,-0.24700893800189055,-0.06845471059286899,-0.031881612125632584,0.0882566049695015,DSAC,sq_error,unique-plant-183
31,31,0.03059304561644264,-0.2519600022110728,-0.07705132427757905,-0.03059304561644264,0.08700648695230484,DSAC,sq_error,unique-plant-183
32,32,0.02828024847731686,-0.2526001154084694,-0.08443279255020164,-0.02828024847731686,0.08531450480222702,DSAC,sq_error,unique-plant-183
33,33,0.025158512821207058,-0.2490970577535775,-0.09048270524660205,-0.025158512821207058,0.08273864537477493,DSAC,sq_error,unique-plant-183
34,34,0.02205891974552927,-0.2436281069873813,-0.09510565162951541,-0.02205891974552927,0.08216787129640579,DSAC,sq_error,unique-plant-183
35,35,0.019441195826498274,-0.23766041381864245,-0.09822872507286891,-0.019441195826498274,0.08299123495817184,DSAC,sq_error,unique-plant-183
36,36,0.017447023066000468,-0.23188985263708453,-0.09980267284282718,-0.017447023066000468,0.08439797908067703,DSAC,sq_error,unique-plant-183
37,37,0.016048372199616915,-0.22648484285746223,-0.09980267284282714,-0.016048372199616915,0.08578977733850479,DSAC,sq_error,unique-plant-183
38,38,0.015092089920016668,-0.22107859247213252,-0.09822872507286884,-0.015092089920016668,0.08645074814558029,DSAC,sq_error,unique-plant-183
39,39,0.014514408052405815,-0.21558140874440468,-0.09510565162951531,-0.014514408052405815,0.08672956377267838,DSAC,sq_error,unique-plant-183
40,40,0.014281595979435338,-0.20998833682702298,-0.09048270524660189,-0.014281595979435338,0.08674763888120651,DSAC,sq_error,unique-plant-183
41,41,0.014363712887409149,-0.20428150087619532,-0.08443279255020146,-0.014363712887409149,0.08650002628564835,DSAC,sq_error,unique-plant-183
42,42,0.014734158733479037,-0.19843566731027418,-0.07705132427757891,-0.014734158733479037,0.08598575741052628,DSAC,sq_error,unique-plant-183
43,43,0.015367970994586238,-0.19242233134355613,-0.06845471059286883,-0.015367970994586238,0.0852067694067955,DSAC,sq_error,unique-plant-183
44,44,0.016092375168834612,-0.18563425103157213,-0.05877852522924734,-0.016092375168834612,0.08332359045743942,DSAC,sq_error,unique-plant-183
