,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,observation,run
28,28,0.0004378723208584164,-0.027249968468731702,-0.04817536741017166,-0.0004378723208584164,0.01336144283413887,DSAC,sq_error,state + error,feasible-yogurt-566
29,29,0.0009995783523158847,-0.02716241616573542,-0.058778525229247404,-0.0009995783523158847,0.013374250382184982,DSAC,sq_error,state + error,feasible-yogurt-566
30,30,0.0017130827296979434,-0.027065307000911507,-0.06845471059286899,-0.0017130827296979434,0.01338132843375206,DSAC,sq_error,state + error,feasible-yogurt-566
31,31,0.0025090272258411063,-0.026961133363178385,-0.07705132427757905,-0.0025090272258411063,0.013385053724050522,DSAC,sq_error,state + error,feasible-yogurt-566
32,32,0.003315383668117488,-0.02685342412610819,-0.08443279255020163,-0.003315383668117488,0.013387653976678848,DSAC,sq_error,state + error,feasible-yogurt-566
33,33,0.004061941326676972,-0.02674934407149242,-0.09048270524660205,-0.004061941326676972,0.01339542493224144,DSAC,sq_error,state + error,feasible-yogurt-566
34,34,0.004684435146497548,-0.026662718126504677,-0.09510565162951541,-0.004684435146497548,0.01341995969414711,DSAC,sq_error,state + error,feasible-yogurt-566
35,35,0.005132017768982718,-0.026590622299395635,-0.09822872507286891,-0.005132017768982718,0.013440359383821487,DSAC,sq_error,state + error,feasible-yogurt-566
36,36,0.005368621407594984,-0.026531795902565408,-0.09980267284282718,-0.005368621407594984,0.013459030538797379,DSAC,sq_error,state + error,feasible-yogurt-566
37,37,0.005375378449250807,-0.02648570039271292,-0.09980267284282714,-0.005375378449250807,0.013477277010679245,DSAC,sq_error,state + error,feasible-yogurt-566
38,38,0.00515189942199768,-0.026451991920699816,-0.09822872507286884,-0.00515189942199768,0.013495732098817825,DSAC,sq_error,state + error,feasible-yogurt-566
39,39,0.0047163154970800356,-0.02643021572205248,-0.09510565162951531,-0.0047163154970800356,0.013514582067728043,DSAC,sq_error,state + error,feasible-yogurt-566
40,40,0.004104093983505077,-0.0264195022084687,-0.09048270524660189,-0.004104093983505077,0.013533506542444229,DSAC,sq_error,state + error,feasible-yogurt-566
