,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
60,upbeat-sweep-140,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.9,0,{'runtime': 4},5.350378036499023,25.688384263139756,8.655068587126058,1685895428.485324,17.0333156760137
61,fanciful-sweep-139,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.5,0,{'runtime': 4},5.81704306602478,25.688384263139756,4.046254757374878,1685895415.316761,21.64212950576488
62,different-sweep-138,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.1,0,{'runtime': 1},2.4379189014434814,25.82480636811087,10000000000,1685895398.891366,-9999999974.175194
63,splendid-sweep-137,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.1,0,{'runtime': 1},2.4679882526397705,6.044273037905692,10000000000,1685895382.6048992,-9999999993.955729
64,proud-sweep-136,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.5,0.6,0,{'runtime': 4},5.431384801864624,25.82480636811087,5.016452154564391,1685895368.74115,20.80835421354648
65,clean-sweep-135,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.9,0,{'runtime': 4},5.434423923492432,25.688384263139756,8.127158649843338,1685895353.732152,17.56122561329642
66,honest-sweep-134,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.3,0.5,0,{'runtime': 4},5.585071086883545,25.688384263139756,4.0154270124352385,1685895338.680552,21.672957250704517
67,toasty-sweep-133,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.5,0,{'runtime': 4},5.288778066635132,25.82480636811087,3.3456261847271964,1685895321.631849,22.479180183383676
68,northern-sweep-132,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.3,0,{'runtime': 5},5.739314079284668,6.044273037905692,2.787209038693527,1685895306.993498,3.2570639992121655
69,clean-sweep-131,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.9,0,{'runtime': 5},5.5257179737091064,25.688384263139756,9.606830475243418,1685895290.420838,16.08155378789634
