,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
37,driven-sweep-163,IDHPDSAC,0.5,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.332213878631592,25.688384263139756,7.563011486621886,1685813018.7587478,18.12537277651787
38,avid-sweep-162,IDHPDSAC,5e-05,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.415178060531616,6.044273037905692,199.8224887984496,1685813003.9622982,-193.7782157605439
39,driven-sweep-161,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.404008865356445,25.82480636811087,2.717963959221835,1685812988.070185,23.106842408889037
40,likely-sweep-160,IDHPDSAC,0.01,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.459373950958252,25.688384263139756,10.228705015689927,1685812972.18891,15.459679247449827
41,olive-sweep-159,IDHPDSAC,0.2,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.2602221965789795,25.688384263139756,3.981761204591817,1685812956.17689,21.70662305854794
42,good-sweep-158,IDHPDSAC,0.9,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 6},6.507818222045898,6.044273037905692,7.207323117692248,1685812940.5550451,-1.1630500797865553
43,vital-sweep-157,IDHPDSAC,0.001,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.333024978637695,25.688384263139756,21.73796602079033,1685812924.552032,3.950418242349425
44,chocolate-sweep-156,IDHPDSAC,0.6,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.213566064834595,25.82480636811087,5.1495416737007975,1685812908.589784,20.675264694410075
45,whole-sweep-155,IDHPDSAC,0.0005,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.223883867263794,25.688384263139756,30.12769740162302,1685812892.723867,-4.439313138483264
46,resilient-sweep-154,IDHPDSAC,0.5,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.347956895828247,6.044273037905692,14.850554942687822,1685812877.955036,-8.806281904782129
47,atomic-sweep-153,IDHPDSAC,0.0001,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.378988981246948,6.044273037905692,167.64314510643146,1685812862.148397,-161.59887206852576
48,bright-sweep-152,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.47116494178772,25.82480636811087,5.057684221791281,1685812846.354961,20.76712214631959
49,curious-sweep-151,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.4084508419036865,25.82480636811087,5.681161623486575,1685812830.402675,20.143644744624297
50,dainty-sweep-150,IDHPDSAC,0.4,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 6},6.540657043457031,6.044273037905692,10.27733399392395,1685812814.687547,-4.2330609560182575
51,sleek-sweep-149,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.408977031707764,25.82480636811087,4.646400945931576,1685812798.64237,21.178405422179296
52,splendid-sweep-148,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.358703136444092,25.82480636811087,4.679292121709377,1685812782.755288,21.145514246401493
53,dark-sweep-147,IDHPDSAC,0.9,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.404174089431763,6.044273037905692,6.7770769262424455,1685812767.910704,-0.7328038883367531
54,prime-sweep-146,IDHPDSAC,1e-05,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.4806787967681885,6.044273037905692,159.26020539153117,1685812752.1244988,-153.21593235362548
55,snowy-sweep-145,IDHPDSAC,0.01,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.486056804656982,25.688384263139756,9.74579157578139,1685812736.240064,15.942592687358369
56,apricot-sweep-144,IDHPDSAC,0.001,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.3431830406188965,25.688384263139756,22.36847162606098,1685812720.198721,3.319912637078776
57,lucky-sweep-143,IDHPDSAC,0.005,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.321339130401611,6.044273037905692,44.73456174932231,1685812704.307692,-38.69028871141662
58,devout-sweep-142,IDHPDSAC,0.05,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.219058990478516,25.82480636811087,5.185564785257663,1685812688.340052,20.63924158285321
59,genial-sweep-141,IDHPDSAC,0.05,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.211921215057373,6.044273037905692,4.179619752734826,1685812672.4150012,1.864653285170866
60,lilac-sweep-140,IDHPDSAC,0.5,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.157808065414429,25.82480636811087,4.3025170707076565,1685812657.458136,21.522289297403212
61,gentle-sweep-139,IDHPDSAC,1e-05,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.18510103225708,25.688384263139756,35.75640270593879,1685812641.650492,-10.068018442799032
62,vocal-sweep-138,IDHPDSAC,0.2,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 6},6.541193962097168,25.688384263139756,2.9755296802702573,1685812626.070139,22.7128545828695
63,major-sweep-137,IDHPDSAC,0.2,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.403471946716309,6.044273037905692,6.175487424932361,1685812609.852463,-0.13121438702666843
