,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb
37,legendary-sweep-163,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.9,0.7,6.14766001701355,25.688384263139756,19.65430854047279,1685823556.59702,6.034075722666962,0,{'runtime': 5}
38,serene-sweep-162,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.5,0.4,6.213541030883789,25.82480636811087,4.6627833419587095,1685823540.150559,21.162023026152163,0,{'runtime': 5}
39,silvery-sweep-161,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.8,6.203261852264404,6.044273037905692,6.407500566886326,1685823525.127148,-0.3632275289806337,0,{'runtime': 5}
40,gallant-sweep-160,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.2,0.1,3.486334800720215,25.688384263139756,10000000000,1685823511.3764548,-9999999974.311617,0,{'runtime': 2}
41,stoic-sweep-159,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.2,0.6,6.221972942352295,25.82480636811087,4.07232027848751,1685823498.102751,21.75248608962336,0,{'runtime': 5}
42,treasured-sweep-158,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.3,0.5,6.2534589767456055,6.044273037905692,6.883510042596451,1685823481.997117,-0.8392370046907587,0,{'runtime': 5}
43,visionary-sweep-157,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.2,6.270319938659668,6.044273037905692,6.294914453756988,1685823467.083008,-0.2506414158512955,0,{'runtime': 5}
44,iconic-sweep-156,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.5,0.6,6.151109933853149,25.82480636811087,4.044049674129518,1685823450.915339,21.780756693981353,0,{'runtime': 5}
45,leafy-sweep-155,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.5,6.436838865280151,25.82480636811087,4.027915903290735,1685823435.0380569,21.796890464820137,0,{'runtime': 5}
46,polished-sweep-154,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.4,6.315167188644409,6.044273037905692,27.196120816183093,1685823418.887535,-21.1518477782774,0,{'runtime': 5}
47,cool-sweep-153,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.9,0.6,7.027703046798706,25.82480636811087,3.160979009349246,1685823404.229272,22.663827358761623,0,{'runtime': 5}
48,trim-sweep-152,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.2,6.28789496421814,25.688384263139756,3.717471245892453,1685823387.515651,21.970913017247305,0,{'runtime': 5}
49,lemon-sweep-151,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.4,6.282522201538086,25.82480636811087,2.97681729606965,1685823371.335086,22.84798907204122,0,{'runtime': 5}
50,celestial-sweep-150,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.1,0.9,6.291348934173584,6.044273037905692,5.362639637155139,1685823356.425667,0.6816334007505533,0,{'runtime': 5}
51,dry-sweep-149,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.9,6.2687108516693115,25.82480636811087,9.843311478865628,1685823340.130098,15.981494889245242,0,{'runtime': 5}
52,expert-sweep-148,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.3,6.578195095062256,25.82480636811087,4.434695036558836,1685823324.894699,21.390111331552035,0,{'runtime': 5}
53,upbeat-sweep-147,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.5,6.22459602355957,25.82480636811087,4.373030639557939,1685823309.071479,21.45177572855293,0,{'runtime': 5}
54,desert-sweep-146,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.7,0.5,6.719686031341553,25.82480636811087,3.4013680216300197,1685823293.286634,22.42343834648085,0,{'runtime': 5}
55,dry-sweep-145,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.5,6.254805088043213,25.82480636811087,4.674486269256193,1685823276.70143,21.15032009885468,0,{'runtime': 5}
56,divine-sweep-144,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.1,2.771084785461426,6.044273037905692,10000000000,1685823262.1823,-9999999993.955729,0,{'runtime': 2}
57,fresh-sweep-143,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.3,0.3,6.188086986541748,25.688384263139756,6.290390578664693,1685823250.492061,19.39799368447506,0,{'runtime': 5}
58,snowy-sweep-142,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.1,3.93186616897583,6.044273037905692,10000000000,1685823237.1216562,-9999999993.955729,0,{'runtime': 3}
59,lucky-sweep-141,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.5,6.439628839492798,6.044273037905692,49.384046603079106,1685823223.127271,-43.33977356517342,0,{'runtime': 5}
60,amber-sweep-140,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.3,6.12518310546875,25.688384263139756,4.1773345604199905,1685823201.5068722,21.511049702719767,0,{'runtime': 5}
61,dazzling-sweep-139,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.3,6.743759870529175,6.044273037905692,7.652927095912519,1685823177.053681,-1.6086540580068265,0,{'runtime': 5}
62,dashing-sweep-138,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.7,7.138606071472168,25.82480636811087,3.092771815128803,1685823161.5125902,22.732034552982068,0,{'runtime': 5}
63,zany-sweep-137,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.4,6.3409600257873535,25.688384263139756,12.349922652815366,1685823144.739514,13.33846161032439,0,{'runtime': 5}
64,lyric-sweep-136,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.5,6.463587045669556,25.82480636811087,4.840981424260105,1685823128.583879,20.983824943850767,0,{'runtime': 5}
65,worldly-sweep-135,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.2,0.9,6.128443241119385,25.82480636811087,8.638035122272813,1685823112.2930171,17.18677124583806,0,{'runtime': 5}
66,driven-sweep-134,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.1,0.4,6.084204912185669,6.044273037905692,8.92559846164473,1685823097.222872,-2.881325423739038,0,{'runtime': 5}
67,serene-sweep-133,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.5,0.2,6.305392026901245,25.82480636811087,2.4717935720018813,1685823081.563068,23.353012796108988,0,{'runtime': 5}
68,feasible-sweep-132,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.3,0.4,6.167815208435059,25.688384263139756,4.748562714379312,1685823065.2805371,20.939821548760445,0,{'runtime': 5}
69,cool-sweep-131,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.4,6.236973762512207,6.044273037905692,7.3305763820692,1685823049.2976818,-1.2863033441635077,0,{'runtime': 5}
70,revived-sweep-130,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.7,0.5,6.251389026641846,25.82480636811087,9.429333757189893,1685823034.157315,16.395472610920976,0,{'runtime': 5}
71,eager-sweep-129,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.8,6.26535177230835,25.688384263139756,5.8784752274615695,1685823018.2472498,19.80990903567819,0,{'runtime': 5}
72,clean-sweep-128,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.2,6.507454872131348,25.688384263139756,3.370666639395601,1685823002.211989,22.317717623744155,0,{'runtime': 5}
73,dutiful-sweep-127,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.7,6.1741039752960205,25.688384263139756,3.510929711609554,1685822985.880232,22.177454551530204,0,{'runtime': 5}
74,swept-sweep-126,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.8,6.181737899780273,25.688384263139756,7.088313701524942,1685822970.8178408,18.600070561614817,0,{'runtime': 5}
75,zesty-sweep-125,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.3,6.474216938018799,25.688384263139756,33.63853901215906,1685822954.585511,-7.950154749019301,0,{'runtime': 5}
76,radiant-sweep-124,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.2,0.2,6.226638078689575,6.044273037905692,8.2746522366641,1685822938.27536,-2.230379198758407,0,{'runtime': 5}
77,devout-sweep-123,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.9,0.99,6.199754238128662,25.82480636811087,291.4360089937098,1685822922.2255712,-265.61120262559893,0,{'runtime': 5}
78,peachy-sweep-122,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.3,6.326904058456421,25.82480636811087,2.9736861151307203,1685822907.228256,22.85112025298015,0,{'runtime': 5}
79,fanciful-sweep-121,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.3,0.9,6.20720100402832,25.688384263139756,5.40360682309787,1685822891.154387,20.28477744004189,0,{'runtime': 5}
80,wise-sweep-120,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.5,6.177078008651733,25.688384263139756,3.5258097586353885,1685822875.194405,22.162574504504367,0,{'runtime': 5}
81,prime-sweep-119,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.3,6.215193033218384,25.688384263139756,6.499212183545189,1685822859.327204,19.189172079594567,0,{'runtime': 5}
82,warm-sweep-118,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.5,0.6,6.205473184585571,25.688384263139756,2.4101660617647247,1685822844.050177,23.278218201375033,0,{'runtime': 5}
83,hardy-sweep-117,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.2,6.261116981506348,25.688384263139756,2.971953353584818,1685822828.150975,22.716430909554937,0,{'runtime': 5}
84,firm-sweep-116,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.9,0.9,6.259624004364014,25.82480636811087,13.445422899288197,1685822812.044217,12.379383468822676,0,{'runtime': 5}
85,cool-sweep-115,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.9,0.4,6.267818927764893,6.044273037905692,8.708962344035372,1685822796.617195,-2.66468930612968,0,{'runtime': 5}
86,dazzling-sweep-114,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.1,0.7,6.200085163116455,6.044273037905692,8.964000825230306,1685822780.5659342,-2.9197277873246135,0,{'runtime': 5}
87,zany-sweep-113,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.9,0.7,6.181365013122559,25.82480636811087,2.8602505734013017,1685822764.455672,22.964555794709568,0,{'runtime': 5}
88,vocal-sweep-112,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.6,6.215449810028076,6.044273037905692,12.97595786155016,1685822749.511072,-6.931684823644468,0,{'runtime': 5}
89,polished-sweep-111,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.6,6.232850074768066,6.044273037905692,8.446562384405656,1685822733.566654,-2.4022893464999635,0,{'runtime': 5}
90,pleasant-sweep-110,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.99,6.173598051071167,6.044273037905692,233.31172711420143,1685822717.500384,-227.26745407629576,0,{'runtime': 5}
91,denim-sweep-109,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.9,0.2,6.327341794967651,6.044273037905692,6.560932101551869,1685822700.629727,-0.516659063646177,0,{'runtime': 5}
92,autumn-sweep-108,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.1,2.410965919494629,25.82480636811087,10000000000,1685822677.057755,-9999999974.175194,0,{'runtime': 1}
93,light-sweep-107,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.9,6.221620082855225,6.044273037905692,5.575136905461351,1685822664.876575,0.4691361324443415,0,{'runtime': 5}
94,sunny-sweep-106,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.7,6.161424875259399,25.688384263139756,3.7360971139625656,1685822648.773299,21.95228714917719,0,{'runtime': 5}
95,pretty-sweep-105,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.2,6.282001972198486,25.82480636811087,5.423353441524364,1685822632.92429,20.401452926586508,0,{'runtime': 5}
96,usual-sweep-104,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.4,0.99,6.521533012390137,25.82480636811087,234.59620932614817,1685822618.096937,-208.77140295803727,0,{'runtime': 5}
97,cool-sweep-103,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.6,6.219331979751587,25.688384263139756,2.5889367945743924,1685822601.771895,23.09944746856537,0,{'runtime': 5}
98,woven-sweep-102,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.5,6.176145076751709,25.688384263139756,3.387497675837947,1685822585.667367,22.30088658730181,0,{'runtime': 5}
99,morning-sweep-101,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.2,6.188466787338257,6.044273037905692,7.757564906590857,1685822569.642974,-1.7132918686851646,0,{'runtime': 5}
