"train/step","dutiful-jazz-18 - _step","dutiful-jazz-18 - _step__MIN","dutiful-jazz-18 - _step__MAX","dutiful-jazz-18 - train/return","dutiful-jazz-18 - train/return__MIN","dutiful-jazz-18 - train/return__MAX","spring-monkey-16 - _step","spring-monkey-16 - _step__MIN","spring-monkey-16 - _step__MAX","spring-monkey-16 - train/return","spring-monkey-16 - train/return__MIN","spring-monkey-16 - train/return__MAX","wise-donkey-14 - _step","wise-donkey-14 - _step__MIN","wise-donkey-14 - _step__MAX","wise-donkey-14 - train/return","wise-donkey-14 - train/return__MIN","wise-donkey-14 - train/return__MAX","honest-fog-12 - _step","honest-fog-12 - _step__MIN","honest-fog-12 - _step__MAX","honest-fog-12 - train/return","honest-fog-12 - train/return__MIN","honest-fog-12 - train/return__MAX","sage-vortex-11 - _step","sage-vortex-11 - _step__MIN","sage-vortex-11 - _step__MAX","sage-vortex-11 - train/return","sage-vortex-11 - train/return__MIN","sage-vortex-11 - train/return__MAX"
"25999","25","25","25","-126.72837676641255","-126.72837676641255","-126.72837676641255","25","25","25","-129.99204600466254","-129.99204600466254","-129.99204600466254","25","25","25","-245.14785443254533","-245.14785443254533","-245.14785443254533","25","25","25","-127.49304289907097","-127.49304289907097","-127.49304289907097","25","25","25","-239.4218920204861","-239.4218920204861","-239.4218920204861"
"26999","26","26","26","-244.78150502753442","-244.78150502753442","-244.78150502753442","26","26","26","-323.81432233505495","-323.81432233505495","-323.81432233505495","26","26","26","-129.23752366792797","-129.23752366792797","-129.23752366792797","26","26","26","-314.02503353456257","-314.02503353456257","-314.02503353456257","26","26","26","-128.07670954691866","-128.07670954691866","-128.07670954691866"
"27999","27","27","27","-351.9619998749738","-351.9619998749738","-351.9619998749738","27","27","27","-238.15446409341067","-238.15446409341067","-238.15446409341067","27","27","27","-123.33043557459605","-123.33043557459605","-123.33043557459605","27","27","27","-125.54236820362726","-125.54236820362726","-125.54236820362726","27","27","27","-362.7797329872826","-362.7797329872826","-362.7797329872826"
"28999","28","28","28","-125.37205478776004","-125.37205478776004","-125.37205478776004","28","28","28","-1948.048659710501","-1948.048659710501","-1948.048659710501","28","28","28","-128.13403292028408","-128.13403292028408","-128.13403292028408","28","28","28","-127.07989746740719","-127.07989746740719","-127.07989746740719","28","28","28","-127.60414693224277","-127.60414693224277","-127.60414693224277"
"29999","29","29","29","-119.2327644503498","-119.2327644503498","-119.2327644503498","29","29","29","-2.9606897097233174","-2.9606897097233174","-2.9606897097233174","29","29","29","-371.4309008605455","-371.4309008605455","-371.4309008605455","29","29","29","-131.04208642148825","-131.04208642148825","-131.04208642148825","29","29","29","-5.33641216933779","-5.33641216933779","-5.33641216933779"
"30999","30","30","30","-130.64264001267318","-130.64264001267318","-130.64264001267318","30","30","30","-134.16932985338923","-134.16932985338923","-134.16932985338923","30","30","30","-235.65807911010447","-235.65807911010447","-235.65807911010447","30","30","30","-125.36684584409201","-125.36684584409201","-125.36684584409201","30","30","30","-233.2535016480387","-233.2535016480387","-233.2535016480387"
"31999","31","31","31","-125.0793583306326","-125.0793583306326","-125.0793583306326","31","31","31","-300.2178341231737","-300.2178341231737","-300.2178341231737","31","31","31","-124.14963717094076","-124.14963717094076","-124.14963717094076","31","31","31","-237.1357254108982","-237.1357254108982","-237.1357254108982","31","31","31","-129.59434480967522","-129.59434480967522","-129.59434480967522"
"32999","32","32","32","-127.11714901195326","-127.11714901195326","-127.11714901195326","32","32","32","-362.78303754429646","-362.78303754429646","-362.78303754429646","32","32","32","-128.045541769634","-128.045541769634","-128.045541769634","32","32","32","-128.05648921906652","-128.05648921906652","-128.05648921906652","32","32","32","-8.337666927088856","-8.337666927088856","-8.337666927088856"
"33999","33","33","33","-380.70402833006943","-380.70402833006943","-380.70402833006943","33","33","33","-248.34175242093963","-248.34175242093963","-248.34175242093963","33","33","33","-126.77469439604303","-126.77469439604303","-126.77469439604303","33","33","33","-337.0187412715141","-337.0187412715141","-337.0187412715141","33","33","33","-363.476981801886","-363.476981801886","-363.476981801886"
"34999","34","34","34","-120.92041971345145","-120.92041971345145","-120.92041971345145","34","34","34","-245.7463805604155","-245.7463805604155","-245.7463805604155","34","34","34","-233.9042555343344","-233.9042555343344","-233.9042555343344","34","34","34","-250.79282403637495","-250.79282403637495","-250.79282403637495","34","34","34","-237.05272774373137","-237.05272774373137","-237.05272774373137"
