,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp
41,frosty-sweep-159,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.2,8.815695580661396,0,{'runtime': 5},6.354726076126099,14.965543983462323,6.149848402800927,1685889734.249381
42,stoic-sweep-158,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.7,13.368253052294996,0,{'runtime': 5},6.300608158111572,20.585377984797297,7.2171249325023,1685889719.249751
43,ruby-sweep-157,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.1,0.99,-82.2260508010329,0,{'runtime': 5},6.343672037124634,20.585377984797297,102.8114287858302,1685889703.292464
44,eternal-sweep-156,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.2,0.3,10.591356881719133,0,{'runtime': 5},6.279610872268677,16.011297433609993,5.419940551890861,1685889687.264993
45,wild-sweep-155,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.8,5.6854987626785185,0,{'runtime': 5},6.440265893936157,14.965543983462323,9.280045220783803,1685889671.4531488
46,rural-sweep-154,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.4,0.2,11.355534639620345,0,{'runtime': 5},6.25099515914917,20.585377984797297,9.229843345176953,1685889655.150062
47,major-sweep-153,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.99,-61.13380803025926,0,{'runtime': 5},6.3715500831604,14.965543983462323,76.09935201372159,1685889640.269048
48,rich-sweep-152,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.3,0.8,7.145442411004898,0,{'runtime': 5},6.221327066421509,14.965543983462323,7.820101572457426,1685889624.158325
49,glamorous-sweep-151,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.3,0.1,-9999999985.034456,0,{'runtime': 4},4.53339695930481,14.965543983462323,10000000000,1685889606.200644
50,sparkling-sweep-150,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.9,5.376317769400355,0,{'runtime': 5},6.2984490394592285,14.965543983462323,9.589226214061968,1685889591.872312
