,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae
53,dauntless-sweep-147,IDHPDSAC,0.5,0.005,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,7.560721021079349,1685808052.7346618,-1.5164479831736566,0,{'runtime': 4},5.30794882774353,6.044273037905692
54,divine-sweep-146,IDHPDSAC,0.01,0.3,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,6.289848987548751,1685808037.789174,19.53495738056212,0,{'runtime': 4},5.344405174255371,25.82480636811087
55,mild-sweep-145,IDHPDSAC,5e-05,0.5,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808023.304904,-9999999993.955729,0,{'runtime': 0},1.379716873168945,6.044273037905692
56,young-sweep-144,IDHPDSAC,0.01,0.01,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,9.552691511066492,1685808011.101522,16.135692752073265,0,{'runtime': 4},5.0363240242004395,25.688384263139756
57,ancient-sweep-143,IDHPDSAC,0.005,0.01,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10.08798817021727,1685807995.218166,15.600396092922486,0,{'runtime': 4},5.301484107971191,25.688384263139756
58,bumbling-sweep-142,IDHPDSAC,0.6,0.9,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807980.9341671,-9999999993.955729,0,{'runtime': 0},1.2146692276000977,6.044273037905692
59,lively-sweep-141,IDHPDSAC,0.3,0.8,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807969.832541,-9999999974.311617,0,{'runtime': 0},1.3454968929290771,25.688384263139756
60,toasty-sweep-140,IDHPDSAC,0.9,0.8,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807959.592352,-9999999974.311617,0,{'runtime': 0},1.2841978073120115,25.688384263139756
61,worldly-sweep-139,IDHPDSAC,0.001,0.4,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,18.732015368147707,1685807947.9959402,7.092790999963164,0,{'runtime': 5},5.562336206436157,25.82480636811087
62,bright-sweep-138,IDHPDSAC,0.3,0.3,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807935.113666,-9999999993.955729,0,{'runtime': 2},2.6795949935913086,6.044273037905692
63,graceful-sweep-137,IDHPDSAC,0.5,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,11.31459841032002,1685807922.232307,-5.2703253724143275,0,{'runtime': 5},5.8910510540008545,6.044273037905692
64,whole-sweep-136,IDHPDSAC,5e-05,0.1,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,96.74001874727035,1685807905.961973,-70.9152123791595,0,{'runtime': 5},5.829983949661255,25.82480636811087
65,zany-sweep-135,IDHPDSAC,0.8,0.5,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807891.3592708,-9999999974.175194,0,{'runtime': 0},1.379035711288452,25.82480636811087
66,glorious-sweep-134,IDHPDSAC,0.001,0.0001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,27.303537500257978,1685807880.4455209,-1.6151532371182178,0,{'runtime': 5},5.673998832702637,25.688384263139756
67,elated-sweep-133,IDHPDSAC,0.001,0.8,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807864.7529569,-9999999993.955729,0,{'runtime': 0},1.386192798614502,6.044273037905692
