,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae
43,icy-sweep-157,IDHPSAC,0.0005,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809750.102838,-18.774390208704887,0.0,{'runtime': 5},6.5029051303863525,14.965543983462323,33.73993419216721
44,swept-sweep-156,IDHPSAC,0.5,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809734.700104,15.131249358786537,0.0,{'runtime': 5},6.177633047103882,20.585377984797297,5.454128626010761
45,glowing-sweep-155,IDHPSAC,0.4,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809718.955363,9.44964453359185,0.0,{'runtime': 5},6.437408924102783,14.965543983462323,5.515899449870473
46,graceful-sweep-154,IDHPSAC,0.01,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809702.826833,1.1140045570699986,0.0,{'runtime': 5},6.335280895233154,16.011297433609993,14.897292876539996
47,smart-sweep-153,IDHPSAC,0.005,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809688.530682,-2.885948996749553,0.0,{'runtime': 5},7.719456195831299,14.965543983462323,17.851492980211876
48,revived-sweep-152,IDHPSAC,0.001,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809671.091071,-42.794775694065336,0.0,{'runtime': 5},6.2611777782440186,16.011297433609993,58.806073127675326
49,polished-sweep-151,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809655.2411652,10.39050289386066,0.0,{'runtime': 5},6.4427170753479,14.965543983462323,4.575041089601664
50,usual-sweep-150,IDHPSAC,0.05,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809640.2392251,6.641868374409837,0.0,{'runtime': 5},6.483398199081421,16.011297433609993,9.369429059200156
51,quiet-sweep-149,IDHPSAC,0.7,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809624.048254,15.0350070415595,0.0,{'runtime': 5},6.281935930252075,20.585377984797297,5.550370943237799
52,silvery-sweep-148,IDHPSAC,0.2,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809608.288286,12.78566563107736,0.0,{'runtime': 6},6.541338920593262,20.585377984797297,7.799712353719937
53,hardy-sweep-147,IDHPSAC,0.7,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809583.729812,11.003633708827106,0.0,{'runtime': 5},6.280231952667236,16.011297433609993,5.007663724782888
54,smooth-sweep-146,IDHPSAC,0.005,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809567.790275,0.5355821867913289,0.0,{'runtime': 5},6.439016103744507,16.011297433609993,15.475715246818664
55,pretty-sweep-145,IDHPSAC,1e-05,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809552.698643,-109.09266233894304,0.0,{'runtime': 5},6.316386938095093,16.011297433609993,125.10395977255304
56,peach-sweep-144,IDHPSAC,0.5,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809536.665757,14.853822566582362,0.0,{'runtime': 5},6.316906929016113,20.585377984797297,5.731555418214935
57,sleek-sweep-143,IDHPSAC,0.9,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809520.8134751,-17.54352260125998,0.0,{'runtime': 5},6.468457221984863,14.965543983462323,32.509066584722305
58,olive-sweep-142,IDHPSAC,0.005,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809504.617377,-3.652133544474111,0.0,{'runtime': 5},6.2734479904174805,16.011297433609993,19.663430978084104
59,dazzling-sweep-141,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809488.749414,12.550054184002857,0.0,{'runtime': 5},6.358695983886719,20.585377984797297,8.03532380079444
60,hearty-sweep-140,IDHPSAC,0.9,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809473.6979089,10.63165685383346,0.0,{'runtime': 5},6.244581937789917,14.965543983462323,4.333887129628863
61,olive-sweep-139,IDHPSAC,0.2,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809457.7271092,9.268445745001053,0.0,{'runtime': 5},6.280465126037598,16.011297433609993,6.7428516886089405
