,name,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
94,avid-sweep-106,0.3,0.2,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.217500925064089,14.965543983462323,10000000000.0,1685775548.709548,-9999999985.034456
95,rare-sweep-105,0.005,0.01,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.006584882736206,20.585377984797297,27.53004704888276,1685775528.046486,-6.944669064085463
96,ancient-sweep-104,0.8,0.0005,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.371315002441406,14.965543983462323,7.967740529497968,1685775507.536986,6.997803453964355
97,lively-sweep-103,0.2,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.242823839187622,14.965543983462323,4.011417596191338,1685775486.096763,10.954126387270986
98,gallant-sweep-102,0.6,0.9,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8559482097625732,16.011297433609993,10000000000.0,1685775467.2982242,-9999999983.988705
99,fanciful-sweep-101,0.01,0.8,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.938316106796265,16.011297433609993,5.4284321917531795,1685775454.368159,10.582865241856814
100,royal-sweep-100,0.9,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.08219313621521,14.965543983462323,4.8642840077088465,1685775432.876229,10.101259975753475
101,glorious-sweep-99,0.0001,0.05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.349642038345335,14.965543983462323,29.14394210981484,1685775412.960028,-14.178398126352516
102,electric-sweep-98,0.7,0.3,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.5552661418914795,16.011297433609993,10000000000.0,1685775395.058557,-9999999983.988705
103,fearless-sweep-97,1e-05,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.30358910560608,14.965543983462323,43.45657925264184,1685775379.600342,-28.491035269179513
104,silvery-sweep-96,0.1,0.9,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.0700149536132812,20.585377984797297,10000000000.0,1685775354.83824,-9999999979.41462
105,feasible-sweep-95,0.3,0.05,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.100144147872925,20.585377984797297,5.768277682562822,1685775339.9702652,14.817100302234476
106,rose-sweep-94,5e-05,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.058671951293944,14.965543983462323,42.960630752246416,1685775318.030453,-27.99508676878409
107,firm-sweep-93,0.8,0.8,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.0809521675109863,20.585377984797297,10000000000.0,1685775291.741805,-9999999979.41462
108,dainty-sweep-92,5e-05,0.8,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.104369878768921,20.585377984797297,10000000000.0,1685775280.353385,-9999999979.41462
109,rural-sweep-91,0.8,0.0001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.880162954330444,20.585377984797297,5.168709817995725,1685775266.9622989,15.416668166801571
110,leafy-sweep-90,0.9,0.3,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 454},454.6086947917938,16.011297433609993,9.338739543482731,1685775245.172392,6.672557890127262
111,generous-sweep-89,0.9,0.5,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8314158916473389,20.585377984797297,10000000000.0,1685774781.67303,-9999999979.41462
112,amber-sweep-88,0.0001,0.0001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},8.982203960418701,14.965543983462323,42.39487961575822,1685774767.20353,-27.429335632295896
